source,dest,dist
45,"מתנ""ס לוין",2.5436364869202275
45,"מתנ""ס נירים",2.4578181085262676
45,"מתנ""ס נעורים",3.0457422994371535
45,"מתנ""ס פאני קפלן",3.229546048139285
45,"מתנ""ס טאובל",4.024317965143494
45,"מתנ""ס - י'א",0.5731776054601965
45,מרכז הצעירים,3.686211511443708
45,"מתנ""ס רמות",3.7154426196549015
45,"מתנ""ס נווה זאב",2.8265627974109453
45,מתנס נווה נוי,4.4230529421713385
46,"מתנ""ס לוין",2.530208580403515
46,"מתנ""ס נירים",2.416480017866734
46,"מתנ""ס נעורים",3.0337577772590265
46,"מתנ""ס פאני קפלן",3.1959585336694527
46,"מתנ""ס טאובל",4.037774671581317
46,"מתנ""ס - י'א",0.7234950696069554
46,מרכז הצעירים,3.8011582227945646
46,"מתנ""ס רמות",3.6259990403069375
46,"מתנ""ס נווה זאב",2.975446505442356
46,מתנס נווה נוי,4.558101613693086
47,"מתנ""ס לוין",2.865156854163645
47,"מתנ""ס נירים",2.7494209498191386
47,"מתנ""ס נעורים",3.3686346911227774
47,"מתנ""ס פאני קפלן",3.530206746054404
47,"מתנ""ס טאובל",4.366354768391198
47,"מתנ""ס - י'א",0.8509068239540926
47,מרכז הצעירים,4.0106731423297335
47,"מתנ""ס רמות",3.9269673283162665
47,"מתנ""ס נווה זאב",3.071718525289285
47,מתנס נווה נוי,4.710111141865509
48,"מתנ""ס לוין",2.617167325404452
48,"מתנ""ס נירים",2.4978505614144044
48,"מתנ""ס נעורים",3.1207928960961313
48,"מתנ""ס פאני קפלן",3.278848162959749
48,"מתנ""ס טאובל",4.127453540330866
48,"מתנ""ס - י'א",0.7717700723023265
48,מרכז הצעירים,3.8760054465045357
48,"מתנ""ס רמות",3.689108345607864
48,"מתנ""ס נווה זאב",3.024910957896162
48,מתנס נווה נוי,4.621254193102244
49,"מתנ""ס לוין",2.588397075143064
49,"מתנ""ס נירים",2.458975580725029
49,"מתנ""ס נעורים",3.092049800466883
49,"מתנ""ס פאני קפלן",3.241971484996988
49,"מתנ""ס טאובל",4.107996258062154
49,"מתנ""ס - י'א",0.8205607916716362
49,מרכז הצעירים,3.9032151879288817
49,"מתנ""ס רמות",3.6334548437704437
49,"מתנ""ס נווה זאב",3.0736945811666443
49,מתנס נווה נוי,4.660240033384331
50,"מתנ""ס לוין",2.6469253497167453
50,"מתנ""ס נירים",2.508160026897227
50,"מתנ""ס נעורים",3.150428036525619
50,"מתנ""ס פאני קפלן",3.2929083699305135
50,"מתנ""ס טאובל",4.172872662101208
50,"מתנ""ס - י'א",0.8872386817885457
50,מרכז הצעירים,3.979478249391143
50,"מתנ""ס רמות",3.6585599923842875
50,"מתנ""ס נווה זאב",3.140554404236796
50,מתנס נווה נוי,4.733061780624238
51,"מתנ""ס לוין",2.7042424546292674
51,"מתנ""ס נירים",2.5682684057301275
51,"מתנ""ס נעורים",3.20782712868686
51,"מתנ""ס פאני קפלן",3.3526733483981004
51,"מתנ""ס טאובל",4.226761852117299
51,"מתנ""ס - י'א",0.8899314782416939
51,מרכז הצעירים,4.002564766686038
51,"מתנ""ס רמות",3.718972463029427
51,"מתנ""ס נווה זאב",3.1410486363909653
51,מתנס נווה נוי,4.744652782636742
52,"מתנ""ס לוין",2.759831780867924
52,"מתנ""ס נירים",2.6541347986991544
52,"מתנ""ס נעורים",3.262984494582226
52,"מתנ""ס פאני קפלן",3.4322532420091942
52,"מתנ""ס טאובל",4.253959633723371
52,"מתנ""ס - י'א",0.7476640405499713
52,מרכז הצעירים,3.899577471800495
52,"מתנ""ס רמות",3.859174685961276
52,"מתנ""ס נווה זאב",2.983220854141174
52,מתנס נווה נוי,4.609881455369847
53,"מתנ""ס לוין",2.772472690321564
53,"מתנ""ס נירים",2.654102736859504
53,"מתנ""ס נעורים",3.2760446779302503
53,"מתנ""ס פאני קפלן",3.435266769624527
53,"מתנ""ס טאובל",4.278229164413456
53,"מתנ""ס - י'א",0.8205311004481703
53,מרכז הצעירים,3.9653212976251724
53,"מתנ""ס רמות",3.833894506709379
53,"מתנ""ס נווה זאב",3.0598271369939414
53,מתנס נווה נוי,4.682844806995258
54,"מתנ""ס לוין",2.7438081869431192
54,"מתנ""ס נירים",2.615417202667727
54,"מתנ""ס נעורים",3.247477461438881
54,"מתנ""ס פאני קפלן",3.3985581121550372
54,"מתנ""ס טאובל",4.259110207835245
54,"מתנ""ס - י'א",0.8629087506860738
54,מרכז הצעירים,3.9931264566960243
54,"מתנ""ס רמות",3.7778546779475746
54,"מתנ""ס נווה זאב",3.1092836516030977
54,מתנס נווה נוי,4.723027672704138
55,"מתנ""ס לוין",2.9205939896364552
55,"מתנ""ס נירים",2.7897913642756134
55,"מתנ""ס נעורים",3.4242628451047596
55,"מתנ""ס פאני קפלן",3.573702923423668
55,"מתנ""ס טאובל",4.434398020766915
55,"מתנ""ס - י'א",0.9588628026955789
55,מרכז הצעירים,4.116312143756991
55,"מתנ""ס רמות",3.932537771901386
55,"מתנ""ס נווה זאב",3.179310483531503
55,מתנס נווה נוי,4.818563188696506
56,"מתנ""ס לוין",2.9552191594207797
56,"מתנ""ס נירים",2.8316988827943606
56,"מתנ""ס נעורים",3.458841068782438
56,"מתנ""ס פאני קפלן",3.614309695886308
56,"מתנ""ס טאובל",4.46175181540918
56,"מתנ""ס - י'א",0.9405628321888351
56,מרכז הצעירים,4.104537817104935
56,"מתנ""ס רמות",3.986695999193896
56,"מתנ""ס נווה זאב",3.1474741501047343
56,מתנס נווה נוי,4.794981291950724
57,"מתנ""ס לוין",2.415709312220625
57,"מתנ""ס נירים",2.235648721913431
57,"מתנ""ס נעורים",2.915848992894836
57,"מתנ""ס פאני קפלן",3.024062134588143
57,"מתנ""ס טאובל",3.9739025621154633
57,"מתנ""ס - י'א",1.0751098798633214
