X,Y,Z,combined1,combined2,combined3,SpecialCom,Swing,slid,carrousel,spring,omega,roserose,other,shadowing,surface,Name,type
34.7891065750001,31.2573491250001,0,0,0,0,0,0,0,0,2,0,0,,אין,משטח גומי,סעדיה גאון,כיס
34.79748011,31.248757391,0,0,1,0,0,3,0,0,0,0,0,,יש,משטח גומי,"פארק ראשונים נעמ""ת",שכונתי
34.784802262,31.24786462,0,1,0,0,0,0,0,0,1,0,0,,אין,משטח גומי,מוריה 17,
34.7964337220001,31.247398907,0,0,0,0,0,0,0,0,0,0,0,,,,גן ראשונים מול בית משפט,שכונתי
34.7911094130001,31.2486917860001,0,1,0,0,0,2,0,0,0,0,0,2 - כפיפות בטן ואופניים,אין,משטח גומי,"קפלן מד""א",
34.788670821,31.2464590860001,0,2,0,0,0,2,0,0,1,0,0,,יש,משטח גומי,סוקולוב,שכונתי
34.7874170260001,31.249107284,0,1,0,0,0,0,0,0,1,0,1,,יש,משטח גומי,מניפה,כיס
34.766554893,31.2261712260001,0,0,0,0,0,0,0,0,0,0,0,,,,נשר,
34.765379479,31.2281430780001,0,0,0,0,0,0,0,0,0,0,0,,,,ינשוף פינת חוחית עליון,
34.763181939,31.2277537470001,0,0,0,0,0,0,0,0,0,0,0,,,,חוחית,
34.765210466,31.2296563560001,0,0,0,0,0,0,0,0,0,0,0,,,,ינשוף,
34.797783048,31.261017345,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,"מרפ""ד",כיס
34.7857262270001,31.2686185260001,0,0,0,0,0,0,0,0,3,0,0,,אין,משטח חול,כיפה סנהדרין,כיס
34.808854448,31.2575967990001,0,0,0,1,0,2,0,0,0,0,0,,אין,משטח גומי,פארק אלי כהן חנה סנש,שכונתי
34.819843582,31.2378976680001,0,0,0,0,0,0,0,0,0,0,0,,יש,משטח גומי,פארק נחל באר שבע  - גדול,רובעי
34.764247665,31.2240850970001,0,0,0,0,0,0,0,0,0,0,0,,,,עיט,
34.7792021860001,31.232014554,0,1,0,0,0,0,0,0,0,0,0,,,משטח חול,צבעוני- דודאים מול ורד 14,כיס
34.7795740400001,31.2430819790001,0,2,0,0,0,1,1,0,0,0,0,נדנדה קן לציפור,יש,משטח גומי,גן ברוך,שכונתי
34.7651030070001,31.2264695540001,0,0,0,0,0,0,0,0,0,0,0,,,,עיט נשר,כיס
34.7654630960001,31.2279143100001,0,0,0,0,0,0,0,0,0,0,0,,,,ינשוף פינת חוחית תחתון,
34.7656344920001,31.2308707720001,0,0,0,0,0,0,0,0,0,0,0,,,,אפרים לרון,
34.757974743,31.2667212100001,0,1,0,0,0,0,0,0,1,0,0,,יש,,פארק לוזון,שכונתי
34.7597557300001,31.2598047060001,0,0,0,0,0,3,0,0,0,0,3,"פירמידה ,סקי",יש,משטח גומי,זריצקי נווה טל אקסטרים 3,שכונתי
34.8108961560001,31.2696492200001,0,1,0,0,0,0,0,0,0,0,0,2 סביבון,,משטח גומי,מודעי מול מפעל הפיס,כיס
34.816310677,31.2685389530001,0,1,0,0,0,0,0,0,1,0,0,,,משטח חול,מרד מול 12,כיס
34.7756194950001,31.2611862050001,0,0,0,0,0,0,0,0,0,0,0,,,,רחבת החייל,כיס
34.8032450420001,31.2789482970001,0,0,1,0,0,0,0,0,0,0,0,,,משטח גומי,נחום גולדמן 17,כיס
34.778912962,31.2689999410001,0,0,1,0,0,1,0,0,0,0,0,,,,אבוחצירא מקלף 2,שכונתי
34.779081343,31.2689324880001,0,1,0,0,0,1,0,0,0,0,0,,,,אבוחצירא מקלף 1,שכונתי
34.7734530290001,31.265276848,0,0,0,0,0,0,0,0,1,0,1,,,,פארק וקנין מערבי,שכונתי
34.773841111,31.2652793130001,0,0,0,0,0,0,0,0,0,0,0,,,,פארק וקנין מרכזי,שכונתי
34.7755155310001,31.265880043,0,0,0,0,0,0,0,0,0,0,0,3,,,פארק וקנין מזרחי,שכונתי
34.800510436,31.2819891140001,0,0,0,3,0,0,0,0,1,0,0,,,,פליקס שפירא,שכונתי
34.798054888,31.281938799,0,0,0,1,0,0,0,1,3,0,0,,,,שמשון עמיצור -רוטנשטרייך,שכונתי
34.800096716,31.2841703,0,0,2,0,0,0,0,1,2,0,1,,,,משה קהירי -נחום סנה,שכונתי
