"type","crs__type","crs__properties__name","features__type","features__properties__MainFeatur","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","","Feature","שתי מאורות בשפך עפר","Point","3868930.308393405750394","3663755.508980876766145"
"","","","Feature","קיר מלאכותי לצד כביש 40 עם קינון בז אדום","Point","3876861.078087933827192","3670571.39962422568351"
"","","","Feature","ריכוז עצי אשל היאור על ערוץ נחל עשן","Point","3869615.297382261604071","3670446.126315757166594"
"","","","Feature","קיר עפר ותלכיד - חתך גיאולוגי","Point","3878189.859437580686063","3664607.242463047150522"
"","","","Feature","מבנה חרב המשולב בפארק. אתר פוטנציאלי לחרדונים","Point","3874571.917167492676526","3663469.558071522042155"
"","","","Feature","ריכוז גיאופיטים- כלניות- אלפי פרטים, 500 על 500 מטר","Point","3869989.812561288010329","3670678.117681068833917"
"","","","Feature","ריכוז גיאופיטים- כלניות- מאות פרטים, 50 על 20 מטר","Point","3871505.905905267689377","3670437.110219493974"
"","","","Feature","מאגורה חצובה בסלע- 8 על 5 מטר","Point","3874102.197051483672112","3671813.932149575091898"
"","","","Feature","חווה ביזנטית","Point","3868963.226387872360647","3668156.561294122599065"
"","","","Feature","עץ דקל התמר בסמוך לערוץ הנחל","Point","3875877.548558152746409","3670348.955888111609966"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח","Point","3872226.724575282074511","3669446.97317929379642"
"","","","Feature","עצי דקל התמר- 2 פרטים+ עצי וושינגטוניה- 2 פרטים","Point","3871598.204983706586063","3669707.965633319225162"
"","","","Feature","עץ שיזף מצוי","Point","3869006.406845527235419","3668950.004834541119635"
"","","","Feature","ריכוז פריחה - נורית אסיה","Point","3872707.012254898436368","3666536.713683359324932"
"","","","Feature","ריכוז אטדים","Point","3870009.110154548659921","3670555.555938497185707"
"","","","Feature","מאגורה גדולה חצובה בסלע- 10 על 7 מטר","Point","3874383.840604330413043","3670615.139729617163539"
"","","","Feature","ריכוז משמעותי של שלהבית קיצרת-שיניים, עפעפית מצרית. מאורת דרבן","Point","3871863.433152693789452","3671156.930094545241445"
"","","","Feature","ערוץ חתור בבתרונות הלס לאורך מאות מטרים","Point","3869274.033593374304473","3661856.002461589407176"
"","","","Feature","שיזף מצוי","Point","3867435.071396091487259","3669297.435825896449387"
"","","","Feature","בור מים משופץ","Point","3874121.549030032940209","3672918.754262214992195"
"","","","Feature","מקבץ שיחי מתנן, עירית גדולה","Point","3868809.044558265712112","3662389.871227150317281"
"","","","Feature","אלת המסטיק","Point","3872770.241649374831468","3667598.615755216684192"
"","","","Feature","מחשוף סלע, בבסיסו כוך רדוד וארוך. יש פריחת נץ-חלב דק-עלים.","Point","3876602.192527527920902","3664388.576403586193919"
"","","","Feature","משיין גליליני","Point","3876294.950756313744932","3666372.500840239226818"
"","","","Feature","סכר ובתרונות בנחל עם מחילות בע""ח","Point","3872611.485404051374644","3670460.28615082334727"
"","","","Feature","ריכוז יפרוק המדבר","Point","3871318.969460840336978","3669046.7132030823268"
"","","","Feature","מעביר מים - קן סנונית מערות, לטאה","Point","3872909.391022639814764","3669445.898088268004358"
"","","","Feature","שיזף מצוי","Point","3868324.607654010877013","3668504.303480881266296"
"","","","Feature","תמר בגובה 2.5 מ', שיזף, קירות עפר","Point","3872088.521181984338909","3671237.309581791982055"
"","","","Feature","ריכוז צמחייה סבוכה במורד נחל כתף. האתר נצפה מרחוק (בשל קושי לחצות את נחל באר שבע הזורם)","Point","3876435.979826070833951","3664115.612982587888837"
"","","","Feature","לימן עם עצים וצמחייה עונתית, אתר קינון ונקודת צל","Point","3872910.619421344716102","3669305.431973586324602"
"","","","Feature","ריכוז גיאופיטים- כלניות וצבעונים- אלפי פרטים, 100 על 50 מטר","Point","3876708.539789077360183","3667994.07636087294668"
"","","","Feature","גב, עומק משוער כמטר אחד. בתחום משטח סלע יפה באפיק נחל באר שבע","Point","3877845.896147706545889","3664393.834631264675409"
"","","","Feature","ריכוז גאופיטים- כלניות וצבעונים- אלפי פרטים, 200 על 50 מטר","Point","3874392.499495214316994","3670721.733603859785944"
"","","","Feature","פסגת גבעת חבלנים","Point","3873271.958700473885983","3657832.417432908434421"
"","","","Feature","מערה - פעילות יונים. אורך הפתח 5 מ' והעומק מהפתח 5 מ'","Point","3874659.778719114605337","3672218.710594717413187"
"","","","Feature","ריכוז אירוס שחום- 50+ פרטים, 100 על 100 מטר","Point","3871173.043041811790317","3673249.885866220574826"
"","","","Feature","צמר מפוצל - מאות פרטים","Point","3873414.558853761292994","3672708.593556095380336"
"","","","Feature","כתם עדעד המדבר","Point","3874595.436115864198655","3669101.24543467676267"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח- 50 על 20 מטר","Point","3871610.855151063762605","3669100.199784778989851"
"","","","Feature","עץ שיזף מצוי","Point","3871204.436703946441412","3669081.43880283087492"
"","","","Feature","ריכוז נורית אסיה","Point","3876344.487961492501199","3672404.499000766314566"
"","","","Feature","שרידי מישורי לס לא מופרים בין נטיעות של קק""ל- בית הגידול המקורי בשטח עם מינים אופיניים","Point","3869014.909463735762984","3671204.732274986803532"
"","","","Feature","מערה חצובה בסלע- 8 על 4 מטר","Point","3870052.108690302353352","3671308.417560077738017"
"","","","Feature","חורשת אלות אטלנטיות עם עצים נוספים","Point","3876917.074601536151022","3667167.537713744677603"
"","","","Feature","חישת קנים גדולה. יש מים עומדים.","Point","3869847.761860330123454","3664884.670614486560225"
"","","","Feature","שקע ובו ריכוז גדול של מתנן שעיר","Point","3870337.354179268237203","3658751.451529039535671"
"","","","Feature","עצי שיטה סלילנית- 5 פרטים","Point","3867557.762520871590823","3668576.618113829754293"
"","","","Feature","אירוס שחום, צבעונים","Point","3875875.276263401843607","3667693.558510494884104"
"","","","Feature","אלת המסטיק","Point","3872875.995177382603288","3667705.930969589389861"
